Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
123,Aaron Wan-Bissaka,eng ENG,RB,Manchester Utd,26,"£ 90,000 (€ 105,044, $114,590)","£ 4,680,000 (€ 5,462,274, $5,958,695)",
124,Richarlison,br BRA,CF,Tottenham,27,"£ 90,000 (€ 105,044, $114,590)","£ 4,680,000 (€ 5,462,274, $5,958,695)",
125,Odsonne Édouard,fr FRA,CF,Crystal Palace,26,"£ 90,000 (€ 105,044, $114,590)","£ 4,680,000 (€ 5,462,274, $5,958,695)",Unverified estimation
126,Mohammed Kudus,,AM,West Ham,23,"£ 90,000 (€ 105,044, $114,590)","£ 4,680,000 (€ 5,462,274, $5,958,695)",Unverified estimation
127,Niclas Füllkrug,de GER,CF,West Ham,31,"£ 90,000 (€ 105,044, $114,590)","£ 4,680,000 (€ 5,462,274, $5,958,695)",
128,Tomáš Souček,cz CZE,DM,West Ham,29,"£ 90,000 (€ 105,044, $114,590)","£ 4,680,000 (€ 5,462,274, $5,958,695)",Unverified estimation
129,Leander Dendoncker,be BEL,DM,Aston Villa,29,"£ 90,000 (€ 105,044, $114,590)","£ 4,680,000 (€ 5,462,274, $5,958,695)",Unverified estimation
130,Gonçalo Guedes,pt POR,LW,Wolves,27,"£ 90,000 (€ 105,044, $114,590)","£ 4,680,000 (€ 5,462,274, $5,958,695)",Unverified estimation
131,Pablo Sarabia,es ESP,RW,Wolves,32,"£ 90,000 (€ 105,044, $114,590)","£ 4,680,000 (€ 5,462,274, $5,958,695)",
132,Harry Winks,eng ENG,DM,Leicester City,28,"£ 90,000 (€ 105,044, $114,590)","£ 4,680,000 (€ 5,462,274, $5,958,695)",Unverified estimation
133,Sven Botman,nl NED,CB,Newcastle Utd,24,"£ 90,000 (€ 105,044, $114,590)","£ 4,680,000 (€ 5,462,274, $5,958,695)",
134,Stefan Ortega,de GER,GK,Manchester City,31,"£ 90,000 (€ 105,044, $114,590)","£ 4,680,000 (€ 5,462,274, $5,958,695)",Unverified estimation
135,Benoît Badiashile,fr FRA,CB,Chelsea,23,"£ 90,000 (€ 105,044, $114,590)","£ 4,680,000 (€ 5,462,274, $5,958,695)",Unverified estimation
136,Jack Harrison,eng ENG,RW,Everton,27,"£ 90,000 (€ 105,044, $114,590)","£ 4,680,000 (€ 5,462,274, $5,958,695)",Unverified estimation
137,Willian,br BRA,LW,Fulham,35,"£ 90,000 (€ 105,044, $114,590)","£ 4,680,000 (€ 5,462,274, $5,958,695)",
138,Diogo Dalot,pt POR,RB,Manchester Utd,25,"£ 85,000 (€ 99,208, $108,224)","£ 4,420,000 (€ 5,158,814, $5,627,657)",Unverified estimation
139,Rasmus Højlund,dk DEN,CF,Manchester Utd,21,"£ 85,000 (€ 99,208, $108,224)","£ 4,420,000 (€ 5,158,814, $5,627,657)",
140,Pedro Porro,es ESP,RB,Tottenham,24,"£ 85,000 (€ 99,208, $108,224)","£ 4,420,000 (€ 5,158,814, $5,627,657)",
141,Radu Drăgușin,ro ROU,CB,Tottenham,22,"£ 85,000 (€ 99,208, $108,224)","£ 4,420,000 (€ 5,158,814, $5,627,657)",
142,Michail Antonio,jm JAM,CF,West Ham,34,"£ 85,000 (€ 99,208, $108,224)","£ 4,420,000 (€ 5,158,814, $5,627,657)",
143,Joe Gomez,eng ENG,CB,Liverpool,27,"£ 85,000 (€ 99,208, $108,224)","£ 4,420,000 (€ 5,158,814, $5,627,657)",Unverified estimation
144,David Raya,es ESP,GK,Brentford,28,"£ 85,000 (€ 99,208, $108,224)","£ 4,420,000 (€ 5,158,814, $5,627,657)",Unverified estimation
145,Ben Davies,wls WAL,LB,Tottenham,31,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",Unverified estimation
146,Joachim Andersen,dk DEN,CB,Crystal Palace,28,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",Unverified estimation
147,Justin Kluivert,nl NED,LW,Bournemouth,25,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",Unverified estimation
148,Matty Cash,pl POL,RB,Aston Villa,26,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",Unverified estimation
149,Fábio Silva,pt POR,CF,Wolves,21,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",
150,Nélson Semedo,pt POR,RB,Wolves,30,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",
151,Boubakary Soumaré,fr FRA,DM,Leicester City,25,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",
152,Ricardo Pereira,pt POR,RB,Leicester City,30,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",
153,Harvey Barnes,eng ENG,LW,Newcastle Utd,26,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",Unverified estimation
154,Joe Willock,eng ENG,CM,Newcastle Utd,24,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",Unverified estimation
155,Axel Disasi,fr FRA,CB,Chelsea,26,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",Unverified estimation
156,Kaoru Mitoma,jp JPN,LW,Brighton,27,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",
157,Lewis Dunk,eng ENG,CB,Brighton,32,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",Unverified estimation
158,Idrissa Gana Gueye,sn SEN,CM,Everton,34,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",Unverified estimation
159,Michael Keane,eng ENG,CB,Everton,31,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",Unverified estimation
160,Callum Hudson-Odoi,eng ENG,LW,Nott'ham Forest,23,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",Unverified estimation
Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
161,Chris Wood,nz NZL,CF,Nott'ham Forest,32,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",Unverified estimation
162,Morgan Gibbs-White,eng ENG,AM,Nott'ham Forest,24,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",Unverified estimation
163,Alex Iwobi,ng NGA,LW,Fulham,28,"£ 80,000 (€ 93,372, $101,858)","£ 4,160,000 (€ 4,855,354, $5,296,618)",Unverified estimation
164,Tyrell Malacia,nl NED,LB,Manchester Utd,24,"£ 75,000 (€ 87,536, $95,492)","£ 3,900,000 (€ 4,551,895, $4,965,579)",Unverified estimation
165,Archie Gray,,CM,Tottenham,18,"£ 75,000 (€ 87,536, $95,492)","£ 3,900,000 (€ 4,551,895, $4,965,579)",
166,Destiny Udogie,it ITA,LB,Tottenham,21,"£ 75,000 (€ 87,536, $95,492)","£ 3,900,000 (€ 4,551,895, $4,965,579)",
167,Fraser Forster,eng ENG,GK,Tottenham,36,"£ 75,000 (€ 87,536, $95,492)","£ 3,900,000 (€ 4,551,895, $4,965,579)",Unverified estimation
168,Guglielmo Vicario,it ITA,GK,Tottenham,27,"£ 75,000 (€ 87,536, $95,492)","£ 3,900,000 (€ 4,551,895, $4,965,579)",
169,Rodrigo Bentancur,uy URU,CM,Tottenham,27,"£ 75,000 (€ 87,536, $95,492)","£ 3,900,000 (€ 4,551,895, $4,965,579)",Unverified estimation
